         1848256 function calls (1762275 primitive calls) in 64.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      203    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.120    0.120 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py:115(Pool)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       31    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       15    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     12/9    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        6    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\random.py:493(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        3    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\tempfile.py:384(mktemp)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       10    0.000    0.000    0.000    0.000 C:\Users\ratta\PycharmProjects\1D_PIC_Save\venv\Lib\site-packages\_distutils_hack\__init__.py:77(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        7    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\_weakrefset.py:39(_remove)
       53    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        3    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.752.0_x64__qbz5n2kfra8p0\Lib\threading.py:938(start)
